employee_id,job_type,invoice_amount,material_costs,request_date,start_date,completion_date,customer_id,customer_type,customer_postal_code,customer_satisfaction,employee_experience
j_6497ed,garden_landscaping,1600,509,5/16/2022,5/25/2022,5/27/2022,c_5fd6f5,commercial,A1E,7,3
j_2cec46,basic_lawncare,425.5,94,3/7/2022,6/7/2022,6/7/2022,c_5fd6f5,commercial,A1E,7,2
j_4269b5,basic_lawncare,425.5,96,3/7/2022,6/7/2022,6/8/2022,c_5fd6f5,commercial,A1E,5,6
j_aa26f,basic_lawncare,425.5,94,3/7/2022,6/29/2022,6/29/2022,c_5fd6f5,commercial,A1E,8,3
j_6543ca,complete_lawncare,730,247,5/28/2022,6/29/2022,6/29/2022,c_5fd6f5,commercial,A1E,8,4
j_757df8,basic_lawncare,437,97,3/7/2022,6/29/2022,6/29/2022,c_5fd6f5,commercial,A1E,10,2
j_2aaee9,basic_lawncare,448.5,101,3/7/2022,6/29/2022,6/29/2022,c_5fd6f5,commercial,A1E,6,2
j_279501,garden_beds,660,226,6/17/2022,7/7/2022,7/8/2022,c_5fd6f5,commercial,A1E,1,1
j_6bcd3a,basic_lawncare,437,93,3/7/2022,7/21/2022,7/21/2022,c_5fd6f5,commercial,A1E,7,4
j_941691,install_new_lawn,1810,1039,8/2/2022,9/5/2022,9/5/2022,c_5fd6f5,commercial,A1E,10,2
j_953c13,tree_pruning,370,88,9/5/2022,10/4/2022,10/4/2022,c_5fd6f5,commercial,A1E,10,6
j_356ebe,fall_planting,710,249,10/24/2022,10/24/2022,10/25/2022,c_5fd6f5,commercial,A1E,10,5
j_74e2cb,install_new_lawn,1110,845,3/1/2022,4/1/2022,4/2/2022,c_148061,residential,A1N,7,3
j_96a505,basic_lawncare,250,75,4/13/2022,4/20/2022,4/20/2022,c_148061,residential,A1N,6,5
j_6b9a4a,tree_pruning,250,71,6/6/2022,6/17/2022,6/19/2022,c_148061,residential,A1N,3,3
j_5bfb5,garden_beds,420,171,8/31/2022,10/2/2022,10/3/2022,c_148061,residential,A1N,7,4
j_a1965,complete_lawncare,470,174,10/24/2022,10/24/2022,10/25/2022,c_148061,residential,A1N,8,4
j_7cf1f8,spring_cleanup,560,137,3/2/2022,4/1/2022,4/2/2022,c_5f12fd,residential,A1L,9,2
j_2676cb,complete_lawncare,790,264,5/16/2022,5/24/2022,5/25/2022,c_5f12fd,residential,A1L,7,6
j_6f71ce,garden_beds,730,245,5/29/2022,6/6/2022,6/7/2022,c_5f12fd,residential,A1L,10,2
j_96a6dd,basic_lawncare,410,110,6/7/2022,6/19/2022,6/19/2022,c_5f12fd,residential,A1L,5,1
j_8a5169,basic_lawncare,410,115,7/27/2022,8/30/2022,8/30/2022,c_5f12fd,residential,A1L,10,2
j_3a1a17,garden_landscaping,1860,657,8/23/2022,9/26/2022,9/28/2022,c_5f12fd,residential,A1L,10,5
j_7233a7,basic_lawncare,410,112,9/8/2022,10/5/2022,10/6/2022,c_5f12fd,residential,A1L,10,5
j_6e0045,complete_lawncare,780,267,9/12/2022,10/27/2022,10/28/2022,c_5f12fd,residential,A1L,10,1
j_8eb03c,basic_lawncare,410,107,9/13/2022,10/27/2022,10/28/2022,c_5f12fd,residential,A1L,10,4
j_89654b,complete_lawncare,760,261,3/2/2022,4/1/2022,4/2/2022,c_42fe8d,residential,A1K,7,1
j_17ef00,basic_lawncare,390,107,3/22/2022,4/25/2022,4/25/2022,c_42fe8d,residential,A1K,10,4
j_5ccaa9,complete_lawncare,862.5,262,3/2/2022,4/25/2022,4/25/2022,c_42fe8d,residential,A1K,10,4
j_1c0afd,basic_lawncare,448.5,104,3/22/2022,4/25/2022,4/25/2022,c_42fe8d,residential,A1K,10,6
j_308587,tree_pruning,390,101,4/25/2022,5/2/2022,5/2/2022,c_42fe8d,residential,A1K,7,6
j_1c5e89,basic_lawncare,437,106,3/22/2022,5/16/2022,5/16/2022,c_42fe8d,residential,A1K,8,4
j_958c30,complete_lawncare,828,239,3/2/2022,5/16/2022,5/16/2022,c_42fe8d,residential,A1K,8,2
j_727274,complete_lawncare,862.5,266,3/2/2022,5/16/2022,5/16/2022,c_42fe8d,residential,A1K,10,2
j_5fce38,basic_lawncare,448.5,105,3/22/2022,5/16/2022,5/17/2022,c_42fe8d,residential,A1K,4,2
j_19b59,garden_landscaping,1680,588,5/13/2022,5/23/2022,5/25/2022,c_42fe8d,residential,A1K,10,2
j_76e173,complete_lawncare,862.5,263,3/2/2022,6/7/2022,6/7/2022,c_42fe8d,residential,A1K,8,3
j_630a91,basic_lawncare,471.5,112,3/22/2022,6/7/2022,6/7/2022,c_42fe8d,residential,A1K,10,2
j_400b8d,install_new_lawn,1920,1158,6/2/2022,6/13/2022,6/13/2022,c_42fe8d,residential,A1K,6,4
j_4fe0bc,garden_beds,650,223,6/9/2022,6/21/2022,6/22/2022,c_42fe8d,residential,A1K,5,6
j_79ad11,basic_lawncare,460,110,3/22/2022,6/28/2022,6/28/2022,c_42fe8d,residential,A1K,6,4
j_52663c,complete_lawncare,851,258,3/2/2022,6/28/2022,6/28/2022,c_42fe8d,residential,A1K,7,6
j_89df62,complete_lawncare,885.5,269,3/2/2022,6/28/2022,6/28/2022,c_42fe8d,residential,A1K,8,4
j_93399f,complete_lawncare,862.5,258,3/2/2022,6/28/2022,6/28/2022,c_42fe8d,residential,A1K,10,6
j_196d14,complete_lawncare,885.5,269,3/2/2022,6/28/2022,6/28/2022,c_42fe8d,residential,A1K,10,6
j_743d5c,basic_lawncare,448.5,106,3/22/2022,6/28/2022,6/29/2022,c_42fe8d,residential,A1K,5,3
j_31067,basic_lawncare,460,110,3/22/2022,7/20/2022,7/20/2022,c_42fe8d,residential,A1K,5,1
j_8e328a,basic_lawncare,471.5,111,3/22/2022,7/20/2022,7/20/2022,c_42fe8d,residential,A1K,10,2
j_f15b,complete_lawncare,851,257,3/2/2022,8/10/2022,8/10/2022,c_42fe8d,residential,A1K,8,6
j_1b2d4b,basic_lawncare,448.5,106,3/22/2022,8/10/2022,8/10/2022,c_42fe8d,residential,A1K,10,5
j_770731,complete_lawncare,851,263,3/2/2022,8/10/2022,8/10/2022,c_42fe8d,residential,A1K,8,4
j_384fbc,basic_lawncare,460,110,3/22/2022,8/10/2022,8/11/2022,c_42fe8d,residential,A1K,8,5
j_362e65,water_feature,4440,2352,8/7/2022,9/9/2022,9/13/2022,c_42fe8d,residential,A1K,5,6
j_73a068,fall_planting,760,289,9/30/2022,10/15/2022,10/16/2022,c_42fe8d,residential,A1K,5,4
j_448c83,spring_cleanup,620,157,3/5/2022,4/1/2022,4/2/2022,c_885789,residential,A1L,9,3
j_2f0a2c,retaining_wall,2390,1493,4/19/2022,4/27/2022,4/29/2022,c_885789,residential,A1L,3,4
j_1b46c7,garden_landscaping,1960,647,5/18/2022,5/26/2022,5/28/2022,c_885789,residential,A1L,7,6
j_1ad477,tree_pruning,450,112,6/21/2022,7/11/2022,7/11/2022,c_885789,residential,A1L,8,5
j_d02ea,lawn_treatment,790,275,7/8/2022,8/5/2022,8/6/2022,c_885789,residential,A1L,10,3
j_77f50c,water_feature,4480,2422,7/9/2022,8/8/2022,8/11/2022,c_885789,residential,A1L,5,2
j_5ea63d,tree_pruning,450,110,8/9/2022,9/12/2022,9/13/2022,c_885789,residential,A1L,10,4
j_3128cf,complete_lawncare,890,290,8/10/2022,9/14/2022,9/14/2022,c_885789,residential,A1L,7,6
j_6a5914,install_new_lawn,2300,1280,8/19/2022,9/19/2022,9/19/2022,c_885789,residential,A1L,10,6
j_105361,tree_pruning,300,74,3/6/2022,4/1/2022,4/2/2022,c_3beae,commercial,A1E,5,3
j_47c3ae,spring_cleanup,410,108,5/3/2022,5/8/2022,5/9/2022,c_3beae,commercial,A1E,5,6
j_29129e,garden_landscaping,1270,448,5/31/2022,6/12/2022,6/14/2022,c_3beae,commercial,A1E,5,1
j_5d2ba5,garden_landscaping,1300,460,7/2/2022,7/28/2022,7/30/2022,c_3beae,commercial,A1E,4,4
j_442202,complete_lawncare,560,192,8/28/2022,9/29/2022,9/30/2022,c_3beae,commercial,A1E,6,3
j_702bc0,garden_landscaping,1260,437,8/30/2022,9/30/2022,10/2/2022,c_3beae,commercial,A1E,10,2
j_9f3c2,retaining_wall,2070,1079,9/2/2022,10/3/2022,10/5/2022,c_3beae,commercial,A1E,10,5
j_1f8493,garden_landscaping,1630,543,3/5/2022,4/1/2022,4/3/2022,c_3a591c,residential,A1G,9,5
j_1920fb,garden_beds,700,238,6/19/2022,7/8/2022,7/9/2022,c_3a591c,residential,A1G,6,4
j_393fe4,basic_lawncare,380,98,7/20/2022,8/22/2022,8/22/2022,c_3a591c,residential,A1G,10,1
j_252c09,basic_lawncare,390,103,7/19/2022,8/22/2022,8/23/2022,c_3a591c,residential,A1G,5,6
j_2eb85,complete_lawncare,740,243,8/10/2022,9/14/2022,9/14/2022,c_3a591c,residential,A1G,10,2
j_47dd5,garden_landscaping,770,305,3/6/2022,4/1/2022,4/3/2022,c_72ef4b,commercial,A1C,2,5
j_2bc584,basic_lawncare,190,54,5/2/2022,5/8/2022,5/9/2022,c_72ef4b,commercial,A1C,1,2
j_7e022c,lawn_treatment,290,129,5/14/2022,5/23/2022,5/24/2022,c_72ef4b,commercial,A1C,3,1
j_77499a,complete_lawncare,330,129,6/9/2022,6/20/2022,6/20/2022,c_72ef4b,commercial,A1C,1,2
j_2ab7ab,garden_landscaping,770,316,6/16/2022,7/4/2022,7/6/2022,c_72ef4b,commercial,A1C,5,6
j_56071c,complete_lawncare,750,240,3/6/2022,4/1/2022,4/3/2022,c_6ed58,commercial,A1A,3,6
j_5e66f1,install_new_lawn,2050,1175,3/28/2022,4/11/2022,4/12/2022,c_6ed58,commercial,A1A,6,6
j_60eb12,spring_cleanup,540,134,4/5/2022,4/15/2022,4/17/2022,c_6ed58,commercial,A1A,4,2
j_37da4d,complete_lawncare,874,249,3/6/2022,4/25/2022,4/25/2022,c_6ed58,commercial,A1A,7,5
j_517fd7,garden_landscaping,1710,568,4/18/2022,4/26/2022,4/29/2022,c_6ed58,commercial,A1A,6,3
j_502fbf,complete_lawncare,885.5,249,3/6/2022,5/16/2022,5/16/2022,c_6ed58,commercial,A1A,7,5
j_89fa06,complete_lawncare,862.5,247,3/6/2022,5/16/2022,5/17/2022,c_6ed58,commercial,A1A,9,4
j_69926d,complete_lawncare,862.5,248,3/6/2022,6/7/2022,6/7/2022,c_6ed58,commercial,A1A,8,6
j_3163b2,complete_lawncare,897,253,3/6/2022,6/7/2022,6/8/2022,c_6ed58,commercial,A1A,9,3
j_70ccef,garden_beds,720,242,5/31/2022,6/11/2022,6/12/2022,c_6ed58,commercial,A1A,6,4
j_8f0de2,complete_lawncare,874,243,3/6/2022,6/29/2022,6/29/2022,c_6ed58,commercial,A1A,5,6
j_35c2e6,complete_lawncare,750,246,5/20/2022,6/29/2022,6/29/2022,c_6ed58,commercial,A1A,10,4
j_739aec,complete_lawncare,874,244,3/6/2022,6/29/2022,6/29/2022,c_6ed58,commercial,A1A,8,1
j_1511dd,complete_lawncare,897,248,3/6/2022,6/29/2022,6/30/2022,c_6ed58,commercial,A1A,10,3
j_4452a6,complete_lawncare,874,244,3/6/2022,6/29/2022,6/30/2022,c_6ed58,commercial,A1A,7,1
j_4dc37b,complete_lawncare,885.5,250,3/6/2022,7/21/2022,7/22/2022,c_6ed58,commercial,A1A,6,4
j_42334c,basic_lawncare,400,104,6/24/2022,7/21/2022,7/22/2022,c_6ed58,commercial,A1A,10,4
j_23462f,garden_beds,710,236,7/8/2022,8/5/2022,8/7/2022,c_6ed58,commercial,A1A,5,3
j_27f8a4,basic_lawncare,410,109,8/16/2022,9/18/2022,9/19/2022,c_6ed58,commercial,A1A,6,2
j_1eb7d,spring_cleanup,700,168,3/7/2022,4/1/2022,4/3/2022,c_215688,residential,A1K,5,3
j_706811,install_new_lawn,2690,1424,3/27/2022,4/11/2022,4/12/2022,c_215688,residential,A1K,10,1
j_7c3a76,complete_lawncare,990,319,4/9/2022,4/18/2022,4/18/2022,c_215688,residential,A1K,4,5
j_94385e,tree_pruning,490,120,4/19/2022,4/27/2022,4/28/2022,c_215688,residential,A1K,6,4
j_14ff8a,spring_cleanup,710,172,5/12/2022,5/18/2022,5/19/2022,c_215688,residential,A1K,8,5
j_916374,basic_lawncare,500,124,5/16/2022,5/25/2022,5/25/2022,c_215688,residential,A1K,5,6
j_79a88f,lawn_treatment,910,315,6/10/2022,6/22/2022,6/23/2022,c_215688,residential,A1K,7,1
j_871da,garden_beds,910,298,6/11/2022,6/24/2022,6/25/2022,c_215688,residential,A1K,5,5
j_2c52e1,tree_pruning,500,118,7/24/2022,8/27/2022,8/27/2022,c_215688,residential,A1K,6,6
j_540a42,basic_lawncare,510,129,8/1/2022,9/4/2022,9/4/2022,c_215688,residential,A1K,8,4
j_913d50,fall_planting,990,337,9/14/2022,10/7/2022,10/8/2022,c_215688,residential,A1K,8,2
j_4cfb25,basic_lawncare,480,115,3/7/2022,4/1/2022,4/3/2022,c_3a2747,commercial,A1H,8,4
j_45b2c9,basic_lawncare,540.5,114,3/7/2022,4/25/2022,4/25/2022,c_3a2747,commercial,A1H,6,3
j_367cc8,install_new_lawn,2500,1304,4/23/2022,5/1/2022,5/2/2022,c_3a2747,commercial,A1H,4,5
j_48d8e6,garden_landscaping,2040,632,5/3/2022,5/9/2022,5/11/2022,c_3a2747,commercial,A1H,5,3
j_970128,basic_lawncare,540.5,116,3/7/2022,5/16/2022,5/16/2022,c_3a2747,commercial,A1H,10,2
j_10f16c,basic_lawncare,563.5,126,3/7/2022,5/16/2022,5/16/2022,c_3a2747,commercial,A1H,10,5
j_5440b0,tree_pruning,490,118,5/17/2022,5/26/2022,5/27/2022,c_3a2747,commercial,A1H,7,5
j_7ac8f6,basic_lawncare,552,119,3/7/2022,6/6/2022,6/6/2022,c_3a2747,commercial,A1H,3,3
j_a1f7c,basic_lawncare,540.5,115,3/7/2022,6/6/2022,6/6/2022,c_3a2747,commercial,A1H,4,1
j_10856,basic_lawncare,563.5,126,3/7/2022,6/6/2022,6/6/2022,c_3a2747,commercial,A1H,10,3
j_a581b,basic_lawncare,563.5,121,3/7/2022,6/6/2022,6/6/2022,c_3a2747,commercial,A1H,8,2
j_95aa13,basic_lawncare,563.5,123,3/7/2022,6/27/2022,6/27/2022,c_3a2747,commercial,A1H,7,5
j_794fed,basic_lawncare,552,117,3/7/2022,6/27/2022,6/27/2022,c_3a2747,commercial,A1H,9,2
j_531661,basic_lawncare,563.5,121,3/7/2022,6/27/2022,6/28/2022,c_3a2747,commercial,A1H,10,6
j_7e06c3,complete_lawncare,910,280,6/24/2022,7/19/2022,7/20/2022,c_3a2747,commercial,A1H,6,3
j_b07e1,complete_lawncare,900,268,8/16/2022,9/18/2022,9/18/2022,c_3a2747,commercial,A1H,10,6
j_8527c2,garden_beds,890,281,8/28/2022,9/29/2022,9/30/2022,c_3a2747,commercial,A1H,8,4
j_6b6dff,install_new_lawn,2560,1346,9/8/2022,10/5/2022,10/6/2022,c_3a2747,commercial,A1H,6,2
j_90142a,basic_lawncare,490,122,8/28/2022,10/9/2022,10/9/2022,c_3a2747,commercial,A1H,9,3
j_264517,tree_pruning,290,80,3/7/2022,4/1/2022,4/3/2022,c_914b8d,residential,A1H,5,1
j_88cc3d,install_new_lawn,1340,939,3/16/2022,4/8/2022,4/8/2022,c_914b8d,residential,A1H,10,5
j_f696c,basic_lawncare,300,89,5/21/2022,5/30/2022,5/30/2022,c_914b8d,residential,A1H,5,3
j_959cd4,lawn_treatment,470,186,8/11/2022,9/14/2022,9/15/2022,c_914b8d,residential,A1H,10,4
j_663539,basic_lawncare,290,84,8/25/2022,9/27/2022,9/27/2022,c_914b8d,residential,A1H,7,5
j_14692d,spring_cleanup,460,114,3/7/2022,4/1/2022,4/4/2022,c_7aaa6f,residential,A1B,5,3
j_9518ef,tree_pruning,320,80,4/18/2022,4/26/2022,4/27/2022,c_7aaa6f,residential,A1B,10,5
j_35f673,install_new_lawn,1580,1005,4/27/2022,5/2/2022,5/3/2022,c_7aaa6f,residential,A1B,9,6
j_58bfd9,garden_beds,550,198,6/16/2022,7/4/2022,7/5/2022,c_7aaa6f,residential,A1B,7,4
j_1fd28f,lawn_treatment,560,216,7/4/2022,7/29/2022,7/30/2022,c_7aaa6f,residential,A1B,6,2
j_8d46bb,tree_pruning,330,87,8/18/2022,9/19/2022,9/20/2022,c_7aaa6f,residential,A1B,10,1
j_4f7eed,water_feature,4410,2200,3/1/2022,4/1/2022,4/5/2022,c_52152b,residential,A1N,6,3
j_44fba8,water_feature,4300,2132,5/18/2022,5/26/2022,5/30/2022,c_52152b,residential,A1N,7,2
j_7a6519,garden_landscaping,1690,584,6/22/2022,7/12/2022,7/13/2022,c_52152b,residential,A1N,8,6
j_8c587e,water_feature,4230,2056,6/26/2022,7/18/2022,7/21/2022,c_52152b,residential,A1N,4,2
j_3bca,complete_lawncare,710,230,8/8/2022,9/10/2022,9/10/2022,c_52152b,residential,A1N,6,2
j_8d23b1,basic_lawncare,390,102,9/18/2022,10/11/2022,10/11/2022,c_52152b,residential,A1N,3,1
j_3b61ab,install_new_lawn,1170,911,3/8/2022,4/1/2022,4/5/2022,c_45186d,residential,A1H,4,5
j_2d8f99,garden_landscaping,1060,424,5/17/2022,5/25/2022,5/28/2022,c_45186d,residential,A1H,7,3
j_6e01c0,tree_pruning,240,70,5/18/2022,5/27/2022,5/28/2022,c_45186d,residential,A1H,8,1
j_74d282,tree_pruning,240,71,6/10/2022,6/22/2022,6/23/2022,c_45186d,residential,A1H,10,1
j_19e894,tree_pruning,250,71,7/10/2022,8/8/2022,8/10/2022,c_45186d,residential,A1H,10,6
j_fc4a6,complete_lawncare,460,175,7/17/2022,8/16/2022,8/17/2022,c_45186d,residential,A1H,8,2
j_7be4e1,garden_beds,420,162,7/28/2022,8/30/2022,8/31/2022,c_45186d,residential,A1H,10,6
j_562093,basic_lawncare,250,78,7/22/2022,9/7/2022,9/8/2022,c_45186d,residential,A1H,10,2
j_1641b5,garden_beds,410,156,8/5/2022,9/7/2022,9/9/2022,c_45186d,residential,A1H,4,5
j_6f0c8f,basic_lawncare,250,74,8/16/2022,9/29/2022,9/30/2022,c_45186d,residential,A1H,7,5
j_284cd1,spring_cleanup,410,110,3/8/2022,4/4/2022,4/5/2022,c_54e9b4,residential,A1N,9,5
j_24dae9,install_new_lawn,1490,1010,3/9/2022,4/4/2022,4/5/2022,c_54e9b4,residential,A1N,7,2
j_9392cc,tree_pruning,310,83,5/25/2022,6/3/2022,6/3/2022,c_54e9b4,residential,A1N,9,6
j_961396,retaining_wall,2040,1110,6/29/2022,7/25/2022,7/27/2022,c_54e9b4,residential,A1N,4,1
j_1afc37,complete_lawncare,580,210,7/13/2022,8/12/2022,8/12/2022,c_54e9b4,residential,A1N,5,2
j_38fbd8,basic_lawncare,300,84,8/20/2022,9/20/2022,9/20/2022,c_54e9b4,residential,A1N,3,3
j_40e64c,basic_lawncare,170,55,3/8/2022,4/4/2022,4/5/2022,c_6a7123,commercial,A1C,4,1
j_b982d,basic_lawncare,207,56,3/8/2022,4/26/2022,4/26/2022,c_6a7123,commercial,A1C,4,2
j_2fbcee,basic_lawncare,207,53,3/8/2022,4/26/2022,4/26/2022,c_6a7123,commercial,A1C,1,2
j_53b2e,spring_cleanup,250,72,5/7/2022,5/11/2022,5/12/2022,c_6a7123,commercial,A1C,5,1
j_512c97,basic_lawncare,207,57,3/8/2022,5/17/2022,5/17/2022,c_6a7123,commercial,A1C,3,3
j_194dbe,basic_lawncare,207,52,3/8/2022,5/17/2022,5/17/2022,c_6a7123,commercial,A1C,2,2
j_56f11,basic_lawncare,207,54,3/8/2022,6/8/2022,6/8/2022,c_6a7123,commercial,A1C,2,1
j_408149,basic_lawncare,180,54,5/24/2022,6/8/2022,6/8/2022,c_6a7123,commercial,A1C,1,5
j_486a79,basic_lawncare,180,56,5/28/2022,6/8/2022,6/8/2022,c_6a7123,commercial,A1C,1,3
j_97f8b8,basic_lawncare,218.5,55,3/8/2022,6/8/2022,6/9/2022,c_6a7123,commercial,A1C,10,3
j_3e1669,basic_lawncare,195.5,55,3/8/2022,6/8/2022,6/9/2022,c_6a7123,commercial,A1C,4,3
j_84844a,basic_lawncare,207,53,3/8/2022,6/8/2022,6/9/2022,c_6a7123,commercial,A1C,4,3
j_784b7b,basic_lawncare,195.5,54,3/8/2022,6/30/2022,6/30/2022,c_6a7123,commercial,A1C,2,4
j_399c24,tree_pruning,180,54,6/22/2022,7/12/2022,7/12/2022,c_6a7123,commercial,A1C,3,1
j_8ad588,basic_lawncare,207,55,3/8/2022,7/21/2022,7/21/2022,c_6a7123,commercial,A1C,3,4
j_37202b,water_feature,3240,1128,6/28/2022,7/22/2022,7/27/2022,c_6a7123,commercial,A1C,3,6
j_5b5b6f,basic_lawncare,170,54,6/30/2022,8/11/2022,8/11/2022,c_6a7123,commercial,A1C,5,4
j_94105,garden_landscaping,730,285,8/9/2022,9/11/2022,9/13/2022,c_6a7123,commercial,A1C,4,5
j_507072,garden_beds,290,122,8/17/2022,9/18/2022,9/19/2022,c_6a7123,commercial,A1C,6,2
j_2673bf,tree_pruning,180,52,8/27/2022,9/28/2022,9/28/2022,c_6a7123,commercial,A1C,8,3
j_1e4c81,basic_lawncare,170,53,9/17/2022,10/10/2022,10/10/2022,c_6a7123,commercial,A1C,7,1
j_1c69d0,basic_lawncare,320,87,3/8/2022,4/4/2022,4/5/2022,c_19fd0f,residential,A1G,9,1
j_514722,spring_cleanup,430,112,4/13/2022,4/20/2022,4/21/2022,c_19fd0f,residential,A1G,8,2
j_8331f1,basic_lawncare,368,89,3/8/2022,4/26/2022,4/27/2022,c_19fd0f,residential,A1G,9,2
j_83c3ff,basic_lawncare,345,81,3/8/2022,4/26/2022,4/27/2022,c_19fd0f,residential,A1G,7,1
j_3b4584,spring_cleanup,420,107,4/21/2022,4/28/2022,4/29/2022,c_19fd0f,residential,A1G,10,4
j_4f75e7,tree_pruning,310,86,4/25/2022,5/2/2022,5/2/2022,c_19fd0f,residential,A1G,8,1
j_28d499,basic_lawncare,368,88,3/8/2022,5/18/2022,5/19/2022,c_19fd0f,residential,A1G,10,1
j_741f51,basic_lawncare,356.5,85,3/8/2022,5/18/2022,5/19/2022,c_19fd0f,residential,A1G,10,6
j_5ccafa,basic_lawncare,368,88,3/8/2022,5/18/2022,5/19/2022,c_19fd0f,residential,A1G,5,6
j_272d93,basic_lawncare,368,87,3/8/2022,6/9/2022,6/10/2022,c_19fd0f,residential,A1G,9,3
j_15b82,basic_lawncare,368,88,3/8/2022,7/1/2022,7/1/2022,c_19fd0f,residential,A1G,10,5
j_8d654b,basic_lawncare,368,86,3/8/2022,7/1/2022,7/1/2022,c_19fd0f,residential,A1G,7,6
j_80aa97,basic_lawncare,368,86,3/8/2022,7/1/2022,7/1/2022,c_19fd0f,residential,A1G,7,3
j_653d27,basic_lawncare,320,87,6/3/2022,7/1/2022,7/2/2022,c_19fd0f,residential,A1G,7,1
j_5426f3,basic_lawncare,345,82,3/8/2022,7/1/2022,7/2/2022,c_19fd0f,residential,A1G,6,4
j_8b57a7,complete_lawncare,580,201,6/22/2022,7/25/2022,7/25/2022,c_19fd0f,residential,A1G,10,5
j_cd05d,complete_lawncare,580,197,8/3/2022,9/6/2022,9/6/2022,c_19fd0f,residential,A1G,10,2
j_73b83d,retaining_wall,2070,1114,9/11/2022,10/6/2022,10/8/2022,c_19fd0f,residential,A1G,3,5
j_8e6546,install_new_lawn,1430,943,3/9/2022,4/4/2022,4/5/2022,c_7ca27f,residential,A1N,6,2
j_328da5,complete_lawncare,580,202,5/17/2022,5/25/2022,5/25/2022,c_7ca27f,residential,A1N,10,1
j_42f487,lawn_treatment,520,206,5/18/2022,5/26/2022,5/27/2022,c_7ca27f,residential,A1N,5,6
j_67c66f,basic_lawncare,310,86,6/16/2022,7/4/2022,7/5/2022,c_7ca27f,residential,A1N,10,4
j_38a3d2,water_feature,3960,1805,7/6/2022,8/1/2022,8/5/2022,c_7ca27f,residential,A1N,3,6
j_909e93,garden_beds,520,190,7/8/2022,8/5/2022,8/6/2022,c_7ca27f,residential,A1N,4,1
j_5df149,install_new_lawn,1470,974,7/27/2022,8/30/2022,8/31/2022,c_7ca27f,residential,A1N,10,2
j_180644,basic_lawncare,310,89,10/20/2022,10/23/2022,10/24/2022,c_7ca27f,residential,A1N,4,6
j_f1fdf,spring_cleanup,420,109,3/10/2022,4/4/2022,4/5/2022,c_12b296,residential,A1H,7,2
j_512449,garden_landscaping,1270,464,7/1/2022,7/27/2022,7/29/2022,c_12b296,residential,A1H,10,3
j_4881aa,lawn_treatment,530,206,7/11/2022,8/8/2022,8/9/2022,c_12b296,residential,A1H,10,6
j_18f848,garden_beds,520,190,8/4/2022,9/6/2022,9/7/2022,c_12b296,residential,A1H,7,2
j_b4f28,complete_lawncare,560,195,8/8/2022,9/10/2022,9/11/2022,c_12b296,residential,A1H,5,6
j_5ea9dd,garden_beds,540,198,8/19/2022,9/19/2022,9/20/2022,c_12b296,residential,A1H,8,3
